player,round,hole,strokes,par,yds,score,tourney
"Leffler, Ruben",1,8,4,3,135,1,us open
"Leffler, Ruben",1,9,4,4,267,0,us open
"Leffler, Ruben",1,10,5,4,225,1,us open
"Leffler, Ruben",1,11,4,5,259,-1,us open
"Leffler, Ruben",1,12,3,3,96,0,us open
"Leffler, Ruben",1,13,4,4,162,0,us open
"Leffler, Ruben",1,14,4,5,250,-1,us open
"Leffler, Ruben",1,15,4,4,230,0,us open
"Leffler, Ruben",1,16,4,4,144,0,us open
"Leffler, Ruben",1,17,4,4,235,0,us open
"Leffler, Ruben",1,18,3,3,95,0,us open
"Richardson, Nick",1,1,6,4,235,2,us open
"Richardson, Nick",1,2,5,4,215,1,us open
"Richardson, Nick",1,3,2,4,289,-2,us open
"Richardson, Nick",1,4,5,5,301,0,us open
"Richardson, Nick",1,5,3,3,100,0,us open
"Richardson, Nick",1,6,5,5,246,0,us open
"Richardson, Nick",1,7,7,4,200,3,us open
"Richardson, Nick",1,8,3,3,135,0,us open
"Richardson, Nick",1,9,5,4,267,1,us open
"Richardson, Nick",1,10,3,4,225,-1,us open
"Richardson, Nick",1,11,3,5,259,-2,us open
"Richardson, Nick",1,12,5,3,96,2,us open
"Richardson, Nick",1,13,3,4,162,-1,us open
"Richardson, Nick",1,14,4,5,250,-1,us open
"Richardson, Nick",1,15,4,4,230,0,us open
"Richardson, Nick",1,16,4,4,144,0,us open
"Richardson, Nick",1,17,4,4,235,0,us open
"Richardson, Nick",1,18,3,3,95,0,us open
"Mickael, Lampenois",1,1,5,4,235,1,us open
"Mickael, Lampenois",1,2,5,4,215,1,us open
"Mickael, Lampenois",1,3,3,4,289,-1,us open
"Mickael, Lampenois",1,4,5,5,301,0,us open
"Mickael, Lampenois",1,5,4,3,100,1,us open
"Mickael, Lampenois",1,6,5,5,246,0,us open
"Mickael, Lampenois",1,7,5,4,200,1,us open
"Mickael, Lampenois",1,8,4,3,135,1,us open
"Mickael, Lampenois",1,9,4,4,267,0,us open
"Mickael, Lampenois",1,10,6,4,225,2,us open
"Mickael, Lampenois",1,11,3,5,259,-2,us open
"Mickael, Lampenois",1,12,3,3,96,0,us open
"Mickael, Lampenois",1,13,3,4,162,-1,us open
"Mickael, Lampenois",1,14,4,5,250,-1,us open
"Mickael, Lampenois",1,15,4,4,230,0,us open
"Mickael, Lampenois",1,16,3,4,144,-1,us open
"Mickael, Lampenois",1,17,4,4,235,0,us open
"Mickael, Lampenois",1,18,3,3,95,0,us open
"Loustau, Lucas",1,1,8,4,235,4,us open
"Loustau, Lucas",1,2,5,4,215,1,us open
"Loustau, Lucas",1,3,3,4,289,-1,us open
"Loustau, Lucas",1,4,6,5,301,1,us open
"Loustau, Lucas",1,5,3,3,100,0,us open
"Loustau, Lucas",1,6,6,5,246,1,us open
"Loustau, Lucas",1,7,5,4,200,1,us open
"Loustau, Lucas",1,8,3,3,135,0,us open
"Loustau, Lucas",1,9,5,4,267,1,us open
"Loustau, Lucas",1,10,5,4,225,1,us open
"Loustau, Lucas",1,11,4,5,259,-1,us open
"Loustau, Lucas",1,12,3,3,96,0,us open
"Loustau, Lucas",1,13,4,4,162,0,us open
"Loustau, Lucas",1,14,4,5,250,-1,us open
"Loustau, Lucas",1,15,3,4,230,-1,us open
"Loustau, Lucas",1,16,3,4,144,-1,us open
"Loustau, Lucas",1,17,3,4,235,-1,us open
"Loustau, Lucas",1,18,3,3,95,0,us open
"McNamara, Sean",1,1,7,4,235,3,us open
"McNamara, Sean",1,2,4,4,215,0,us open
"McNamara, Sean",1,3,3,4,289,-1,us open
"McNamara, Sean",1,4,5,5,301,0,us open
"McNamara, Sean",1,5,3,3,100,0,us open
"McNamara, Sean",1,6,4,5,246,-1,us open
"McNamara, Sean",1,7,5,4,200,1,us open
"McNamara, Sean",1,8,4,3,135,1,us open
"McNamara, Sean",1,9,5,4,267,1,us open
"McNamara, Sean",1,10,4,4,225,0,us open
"McNamara, Sean",1,11,4,5,259,-1,us open
"McNamara, Sean",1,12,4,3,96,1,us open
"McNamara, Sean",1,13,4,4,162,0,us open
"McNamara, Sean",1,14,4,5,250,-1,us open
"McNamara, Sean",1,15,5,4,230,1,us open
"McNamara, Sean",1,16,4,4,144,0,us open
"McNamara, Sean",1,17,5,4,235,1,us open
"McNamara, Sean",1,18,2,3,95,-1,us open
"Kuwata, Hiroyuki",1,1,5,4,235,1,us open
"Kuwata, Hiroyuki",1,2,6,4,215,2,us open
"Kuwata, Hiroyuki",1,3,2,4,289,-2,us open
"Kuwata, Hiroyuki",1,4,8,5,301,3,us open
"Kuwata, Hiroyuki",1,5,3,3,100,0,us open
"Kuwata, Hiroyuki",1,6,5,5,246,0,us open
"Kuwata, Hiroyuki",1,7,4,4,200,0,us open
"Kuwata, Hiroyuki",1,8,3,3,135,0,us open
"Kuwata, Hiroyuki",1,9,5,4,267,1,us open
"Kuwata, Hiroyuki",1,10,6,4,225,2,us open
"Kuwata, Hiroyuki",1,11,5,5,259,0,us open
"Kuwata, Hiroyuki",1,12,3,3,96,0,us open
"Kuwata, Hiroyuki",1,13,3,4,162,-1,us open
"Kuwata, Hiroyuki",1,14,4,5,250,-1,us open
"Kuwata, Hiroyuki",1,15,3,4,230,-1,us open
"Kuwata, Hiroyuki",1,16,4,4,144,0,us open
"Kuwata, Hiroyuki",1,17,4,4,235,0,us open
"Kuwata, Hiroyuki",1,18,3,3,95,0,us open
"Damien, Dyrdol",1,1,6,4,235,2,us open
"Damien, Dyrdol",1,2,4,4,215,0,us open
"Damien, Dyrdol",1,3,3,4,289,-1,us open
"Damien, Dyrdol",1,4,5,5,301,0,us open
"Damien, Dyrdol",1,5,3,3,100,0,us open
"Damien, Dyrdol",1,6,6,5,246,1,us open
"Damien, Dyrdol",1,7,5,4,200,1,us open
"Damien, Dyrdol",1,8,4,3,135,1,us open
"Damien, Dyrdol",1,9,5,4,267,1,us open
"Damien, Dyrdol",1,10,5,4,225,1,us open
"Damien, Dyrdol",1,11,4,5,259,-1,us open
"Damien, Dyrdol",1,12,3,3,96,0,us open
"Damien, Dyrdol",1,13,3,4,162,-1,us open
"Damien, Dyrdol",1,14,5,5,250,0,us open
"Damien, Dyrdol",1,15,4,4,230,0,us open
"Damien, Dyrdol",1,16,3,4,144,-1,us open
"Damien, Dyrdol",1,17,5,4,235,1,us open
"Damien, Dyrdol",1,18,3,3,95,0,us open
"Yepez, Julio",1,1,5,4,235,1,us open
"Yepez, Julio",1,2,4,4,215,0,us open
"Yepez, Julio",1,3,3,4,289,-1,us open
"Yepez, Julio",1,4,6,5,301,1,us open
"Yepez, Julio",1,5,3,3,100,0,us open
"Yepez, Julio",1,6,5,5,246,0,us open
"Yepez, Julio",1,7,4,4,200,0,us open
"Yepez, Julio",1,8,4,3,135,1,us open
"Yepez, Julio",1,9,5,4,267,1,us open
"Yepez, Julio",1,10,5,4,225,1,us open
"Yepez, Julio",1,11,5,5,259,0,us open
"Yepez, Julio",1,12,3,3,96,0,us open
"Yepez, Julio",1,13,3,4,162,-1,us open
"Yepez, Julio",1,14,4,5,250,-1,us open
"Yepez, Julio",1,15,3,4,230,-1,us open
"Yepez, Julio",1,16,5,4,144,1,us open
"Yepez, Julio",1,17,5,4,235,1,us open
"Yepez, Julio",1,18,3,3,95,0,us open
"Myers, Chris",1,1,5,4,235,1,us open
"Myers, Chris",1,2,4,4,215,0,us open
"Myers, Chris",1,3,3,4,289,-1,us open
"Myers, Chris",1,4,5,5,301,0,us open
"Myers, Chris",1,5,2,3,100,-1,us open
"Myers, Chris",1,6,6,5,246,1,us open
"Myers, Chris",1,7,4,4,200,0,us open
"Myers, Chris",1,8,4,3,135,1,us open
"Myers, Chris",1,9,4,4,267,0,us open
"Myers, Chris",1,10,4,4,225,0,us open
"Myers, Chris",1,11,5,5,259,0,us open
"Myers, Chris",1,12,4,3,96,1,us open
"Myers, Chris",1,13,5,4,162,1,us open
