player,round,hole,strokes,par,score
"Baldini, Davide",1,12,2,3,-1
"Baldini, Davide",1,13,4,4,0
"Baldini, Davide",1,14,6,5,1
"Baldini, Davide",1,15,4,4,0
"Baldini, Davide",1,16,3,3,0
"Baldini, Davide",1,17,4,4,0
"Baldini, Davide",1,18,5,4,1
"Barragan, Osvaldo",1,1,5,5,0
"Barragan, Osvaldo",1,2,4,4,0
"Barragan, Osvaldo",1,3,3,3,0
"Barragan, Osvaldo",1,4,5,4,1
"Barragan, Osvaldo",1,5,4,4,0
"Barragan, Osvaldo",1,6,6,4,2
"Barragan, Osvaldo",1,7,6,5,1
"Barragan, Osvaldo",1,8,3,3,0
"Barragan, Osvaldo",1,9,3,4,-1
"Barragan, Osvaldo",1,10,4,4,0
"Barragan, Osvaldo",1,11,6,5,1
"Barragan, Osvaldo",1,12,3,3,0
"Barragan, Osvaldo",1,13,4,4,0
"Barragan, Osvaldo",1,14,4,5,-1
"Barragan, Osvaldo",1,15,4,4,0
"Barragan, Osvaldo",1,16,2,3,-1
"Barragan, Osvaldo",1,17,4,4,0
"Barragan, Osvaldo",1,18,4,4,0
"Hittle, William",1,1,5,5,0
"Hittle, William",1,2,5,4,1
"Hittle, William",1,3,3,3,0
"Hittle, William",1,4,4,4,0
"Hittle, William",1,5,5,4,1
"Hittle, William",1,6,4,4,0
"Hittle, William",1,7,4,5,-1
"Hittle, William",1,8,4,3,1
"Hittle, William",1,9,5,4,1
"Hittle, William",1,10,4,4,0
"Hittle, William",1,11,5,5,0
"Hittle, William",1,12,3,3,0
"Hittle, William",1,13,4,4,0
"Hittle, William",1,14,5,5,0
"Hittle, William",1,15,3,4,-1
"Hittle, William",1,16,3,3,0
"Hittle, William",1,17,4,4,0
"Hittle, William",1,18,4,4,0
"Garcia, Nicolas",1,1,5,5,0
"Garcia, Nicolas",1,2,5,4,1
"Garcia, Nicolas",1,3,3,3,0
"Garcia, Nicolas",1,4,5,4,1
"Garcia, Nicolas",1,5,4,4,0
"Garcia, Nicolas",1,6,4,4,0
"Garcia, Nicolas",1,7,5,5,0
"Garcia, Nicolas",1,8,3,3,0
"Garcia, Nicolas",1,9,4,4,0
"Garcia, Nicolas",1,10,3,4,-1
