player,round,hole,strokes,par,yds,score,time
"Barragan, Arturo",1,3,2,4,289,-2,10:40:00
"Barragan, Arturo",1,4,5,5,301,0,10:55:00
"Barragan, Arturo",1,5,3,3,100,0,11:10:00
"Barragan, Arturo",1,6,5,5,246,0,11:25:00
"Barragan, Arturo",1,7,4,4,200,0,11:40:00
"Barragan, Arturo",1,8,3,3,135,0,11:55:00
"Barragan, Arturo",1,9,4,4,267,0,12:10:00
"Barragan, Arturo",1,10,4,4,225,0,12:25:00
"Barragan, Arturo",1,11,4,5,259,-1,12:40:00
"Barragan, Arturo",1,12,3,3,96,0,12:55:00
"Barragan, Arturo",1,13,4,4,162,0,13:10:00
"Barragan, Arturo",1,14,4,5,250,-1,13:25:00
"Barragan, Arturo",1,15,4,4,230,0,09:10:00
"Barragan, Arturo",1,16,3,4,144,-1,09:25:00
"Barragan, Arturo",1,17,5,4,235,1,09:40:00
"Barragan, Arturo",1,18,3,3,95,0,09:55:00
"Valdez, Pier",1,1,4,4,235,0,09:15:00
"Valdez, Pier",1,2,4,4,215,0,09:30:00
"Valdez, Pier",1,3,2,4,289,-2,09:45:00
"Valdez, Pier",1,4,5,5,301,0,10:00:00
"Valdez, Pier",1,5,3,3,100,0,10:15:00
"Valdez, Pier",1,6,6,5,246,1,10:30:00
"Valdez, Pier",1,7,5,4,200,1,10:45:00
"Valdez, Pier",1,8,4,3,135,1,11:00:00
"Valdez, Pier",1,9,4,4,267,0,11:15:00
"Valdez, Pier",1,10,4,4,225,0,11:30:00
"Valdez, Pier",1,11,5,5,259,0,11:45:00
"Valdez, Pier",1,12,4,3,96,1,12:00:00
"Valdez, Pier",1,13,5,4,162,1,12:15:00
"Valdez, Pier",1,14,5,5,250,0,12:30:00
"Valdez, Pier",1,15,3,4,230,-1,12:45:00
"Valdez, Pier",1,16,4,4,144,0,13:00:00
"Valdez, Pier",1,17,4,4,235,0,13:15:00
"Valdez, Pier",1,18,3,3,95,0,09:00:00
"Bartko, Tomas",1,1,4,4,235,0,10:40:00
"Bartko, Tomas",1,2,5,4,215,1,10:55:00
"Bartko, Tomas",1,3,4,4,289,0,11:10:00
"Bartko, Tomas",1,4,5,5,301,0,11:25:00
"Bartko, Tomas",1,5,4,3,100,1,11:40:00
"Bartko, Tomas",1,6,4,5,246,-1,11:55:00
"Bartko, Tomas",1,7,3,4,200,-1,12:10:00
"Bartko, Tomas",1,8,4,3,135,1,12:25:00
"Bartko, Tomas",1,9,6,4,267,2,12:40:00
"Bartko, Tomas",1,10,4,4,225,0,12:55:00
"Bartko, Tomas",1,11,3,5,259,-2,13:10:00
"Bartko, Tomas",1,12,3,3,96,0,13:25:00
"Bartko, Tomas",1,13,4,4,162,0,09:10:00
"Bartko, Tomas",1,14,5,5,250,0,09:25:00
"Bartko, Tomas",1,15,3,4,230,-1,09:40:00
"Bartko, Tomas",1,16,4,4,144,0,09:55:00
"Bartko, Tomas",1,17,5,4,235,1,10:10:00
"Bartko, Tomas",1,18,3,3,95,0,10:25:00
"Menor, Piero",1,1,5,4,235,1,11:40:00
"Menor, Piero",1,2,4,4,215,0,11:55:00
"Menor, Piero",1,3,3,4,289,-1,12:10:00
"Menor, Piero",1,4,7,5,301,2,12:25:00
"Menor, Piero",1,5,3,3,100,0,12:40:00
"Menor, Piero",1,6,4,5,246,-1,12:55:00
"Menor, Piero",1,7,6,4,200,2,13:10:00
"Menor, Piero",1,8,3,3,135,0,13:25:00
"Menor, Piero",1,9,4,4,267,0,09:10:00
"Menor, Piero",1,10,5,4,225,1,09:25:00
"Menor, Piero",1,11,5,5,259,0,09:40:00
"Menor, Piero",1,12,2,3,96,-1,09:55:00
"Menor, Piero",1,13,4,4,162,0,10:10:00
"Menor, Piero",1,14,4,5,250,-1,10:25:00
"Menor, Piero",1,15,4,4,230,0,10:40:00
"Menor, Piero",1,16,3,4,144,-1,10:55:00
"Menor, Piero",1,17,5,4,235,1,11:10:00
"Menor, Piero",1,18,3,3,95,0,11:25:00
"David, Thomas",1,1,6,4,235,2,11:00:00
"David, Thomas",1,2,4,4,215,0,11:15:00
"David, Thomas",1,3,4,4,289,0,11:30:00
"David, Thomas",1,4,5,5,301,0,11:45:00
"David, Thomas",1,5,2,3,100,-1,12:00:00
"David, Thomas",1,6,5,5,246,0,12:15:00
"David, Thomas",1,7,5,4,200,1,12:30:00
"David, Thomas",1,8,4,3,135,1,12:45:00
"David, Thomas",1,9,5,4,267,1,13:00:00
"David, Thomas",1,10,5,4,225,1,13:15:00
