player,round,hole,strokes,par,score
"Menor, Piero",1,15,4,4,0
"Menor, Piero",1,16,4,4,0
"Menor, Piero",1,17,4,5,-1
"Menor, Piero",1,18,2,3,-1
"Barragan, Arturo",1,1,4,5,-1
"Barragan, Arturo",1,2,4,4,0
"Barragan, Arturo",1,3,4,3,1
"Barragan, Arturo",1,4,4,4,0
"Barragan, Arturo",1,5,3,4,-1
"Barragan, Arturo",1,6,3,4,-1
"Barragan, Arturo",1,7,4,3,1
"Barragan, Arturo",1,8,4,4,0
"Barragan, Arturo",1,9,5,5,0
"Barragan, Arturo",1,10,4,4,0
"Barragan, Arturo",1,11,4,4,0
"Barragan, Arturo",1,12,3,3,0
"Barragan, Arturo",1,13,5,4,1
"Barragan, Arturo",1,14,4,5,-1
"Barragan, Arturo",1,15,4,4,0
"Barragan, Arturo",1,16,5,4,1
"Barragan, Arturo",1,17,4,5,-1
"Barragan, Arturo",1,18,2,3,-1
"Johnson, Jeremy",1,1,4,5,-1
"Johnson, Jeremy",1,2,4,4,0
"Johnson, Jeremy",1,3,4,3,1
"Johnson, Jeremy",1,4,4,4,0
"Johnson, Jeremy",1,5,4,4,0
"Johnson, Jeremy",1,6,4,4,0
"Johnson, Jeremy",1,7,4,3,1
"Johnson, Jeremy",1,8,4,4,0
"Johnson, Jeremy",1,9,4,5,-1
"Johnson, Jeremy",1,10,3,4,-1
"Johnson, Jeremy",1,11,4,4,0
"Johnson, Jeremy",1,12,3,3,0
"Johnson, Jeremy",1,13,3,4,-1
"Johnson, Jeremy",1,14,5,5,0
"Johnson, Jeremy",1,15,4,4,0
"Johnson, Jeremy",1,16,4,4,0
"Johnson, Jeremy",1,17,5,5,0
"Johnson, Jeremy",1,18,2,3,-1
"Reyes, Angel",1,1,5,5,0
"Reyes, Angel",1,2,4,4,0
"Reyes, Angel",1,3,4,3,1
"Reyes, Angel",1,4,5,4,1
"Reyes, Angel",1,5,4,4,0
"Reyes, Angel",1,6,3,4,-1
"Reyes, Angel",1,7,4,3,1
"Reyes, Angel",1,8,5,4,1
"Reyes, Angel",1,9,4,5,-1
"Reyes, Angel",1,10,4,4,0
"Reyes, Angel",1,11,5,4,1
"Reyes, Angel",1,12,3,3,0
"Reyes, Angel",1,13,4,4,0
"Reyes, Angel",1,14,6,5,1
"Reyes, Angel",1,15,4,4,0
"Reyes, Angel",1,16,6,4,2
"Reyes, Angel",1,17,5,5,0
"Reyes, Angel",1,18,3,3,0
"DeTranquilli, Nikko",1,1,4,5,-1
"DeTranquilli, Nikko",1,2,4,4,0
